province,city,city_code,station,station_code,lon,lat,pm2_5_24h,pubtime
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,140,2020/12/6 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,35,2020/12/7 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,37,2020/12/8 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,93,2020/12/9 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,157,2020/12/10 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,193,2020/12/11 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,182,2020/12/12 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,52,2020/12/13 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,17,2020/12/14 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,46,2020/12/15 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,38,2020/12/16 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,78,2020/12/17 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,56,2020/12/18 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,39,2020/12/19 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,62,2020/12/20 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,88,2020/12/21 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,108,2020/12/22 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,95,2020/12/23 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,44,2020/12/24 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,68,2020/12/25 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,132,2020/12/26 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,231,2020/12/27 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,90,2020/12/28 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,16,2020/12/29 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,10,2020/12/30 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,33,2020/12/31 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,52,2021/1/1 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,104,2021/1/2 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,66,2021/1/3 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,62,2021/1/4 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,13,2021/1/5 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,27,2021/1/6 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,15,2021/1/7 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,34,2021/1/8 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,33,2021/1/9 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,30,2021/1/10 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,39,2021/1/11 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,62,2021/1/12 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,62,2021/1/13 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,99,2021/1/14 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,63,2021/1/15 0:00
